"","councils","years"
"1","A546",1988
"2","A546",1988
"3","A546",1988
"4","A546",1988
"5","A546",1988
"6","A546",1988
"7","A554",1988
"8","A554",1988
"9","A588",1988
"10","A588",1988
"11","A588",1988
"12","A588",1988
"13","A588",1988
"14","A588",1988
"15","A588",1988
"16","A588",1988
"17","A624",1988
"18","A624",1988
"19","A624",1988
"20","A624",1988
"21","A624",1988
"22","A624",1988
"23","A624",1988
"24","A642",1988
"25","A642",1988
"26","A642",1988
"27","A642",1988
"28","A650",1988
"29","A650",1988
"30","A650",1988
"31","A650",1988
"32","A716",1988
"33","A716",1988
"34","A716",1988
"35","A892",1988
"36","A892",1988
"37","A546",1989
"38","A546",1989
"39","A546",1989
"40","A546",1989
"41","A546",1989
"42","A546",1989
"43","A546",1989
"44","A546",1989
"45","A546",1989
"46","A546",1989
"47","A546",1989
"48","A546",1989
"49","A546",1989
"50","A546",1989
"51","A546",1989
"52","A546",1989
"53","A546",1989
"54","A546",1989
"55","A546",1989
"56","A546",1989
"57","A546",1989
"58","A546",1989
"59","A546",1989
"60","A546",1989
"61","A546",1989
"62","A546",1989
"63","A554",1989
"64","A554",1989
"65","A554",1989
"66","A554",1989
"67","A588",1989
"68","A588",1989
"69","A588",1989
"70","A588",1989
"71","A588",1989
"72","A588",1989
"73","A588",1989
"74","A588",1989
"75","A588",1989
"76","A588",1989
"77","A588",1989
"78","A588",1989
"79","A588",1989
"80","A588",1989
"81","A588",1989
"82","A624",1989
"83","A624",1989
"84","A624",1989
"85","A624",1989
"86","A624",1989
"87","A624",1989
"88","A624",1989
"89","A624",1989
"90","A624",1989
"91","A624",1989
"92","A624",1989
"93","A624",1989
"94","A624",1989
"95","A624",1989
"96","A624",1989
"97","A624",1989
"98","A624",1989
"99","A624",1989
"100","A624",1989
"101","A624",1989
"102","A624",1989
"103","A624",1989
"104","A624",1989
"105","A624",1989
"106","A624",1989
"107","A624",1989
"108","A624",1989
"109","A624",1989
"110","A642",1989
"111","A642",1989
"112","A642",1989
"113","A650",1989
"114","A658",1989
"115","A716",1989
"116","A716",1989
"117","A716",1989
"118","A716",1989
"119","A892",1989
"120","A892",1989
"121","A892",1989
"122","A546",1990
"123","A546",1990
"124","A546",1990
"125","A546",1990
"126","A546",1990
"127","A546",1990
"128","A546",1990
"129","A546",1990
"130","A546",1990
"131","A546",1990
"132","A546",1990
"133","A546",1990
"134","A546",1990
"135","A554",1990
"136","A554",1990
"137","A554",1990
"138","A588",1990
"139","A588",1990
"140","A588",1990
"141","A588",1990
"142","A588",1990
"143","A588",1990
"144","A588",1990
"145","A588",1990
"146","A588",1990
"147","A588",1990
"148","A588",1990
"149","A588",1990
"150","A588",1990
"151","A588",1990
"152","A588",1990
"153","A588",1990
"154","A588",1990
"155","A588",1990
"156","A588",1990
"157","A588",1990
"158","A588",1990
"159","A588",1990
"160","A588",1990
"161","A588",1990
"162","A588",1990
"163","A588",1990
"164","A588",1990
"165","A588",1990
"166","A588",1990
"167","A588",1990
"168","A588",1990
"169","A588",1990
"170","A588",1990
"171","A588",1990
"172","A588",1990
"173","A588",1990
"174","A588",1990
"175","A588",1990
"176","A588",1990
"177","A588",1990
"178","A588",1990
"179","A588",1990
"180","A588",1990
"181","A588",1990
"182","A588",1990
"183","A588",1990
"184","A588",1990
"185","A588",1990
"186","A588",1990
"187","A588",1990
"188","A588",1990
"189","A624",1990
"190","A624",1990
"191","A624",1990
"192","A624",1990
"193","A624",1990
"194","A624",1990
"195","A624",1990
"196","A624",1990
"197","A624",1990
"198","A624",1990
"199","A624",1990
"200","A624",1990
"201","A624",1990
"202","A624",1990
"203","A624",1990
"204","A624",1990
"205","A624",1990
"206","A624",1990
"207","A624",1990
"208","A624",1990
"209","A624",1990
"210","A624",1990
"211","A624",1990
"212","A624",1990
"213","A624",1990
"214","A624",1990
"215","A624",1990
"216","A624",1990
"217","A624",1990
"218","A624",1990
"219","A624",1990
"220","A624",1990
"221","A624",1990
"222","A624",1990
"223","A624",1990
"224","A624",1990
"225","A624",1990
"226","A624",1990
"227","A624",1990
"228","A624",1990
"229","A624",1990
"230","A624",1990
"231","A624",1990
"232","A624",1990
"233","A624",1990
"234","A624",1990
"235","A624",1990
"236","A624",1990
"237","A624",1990
"238","A624",1990
"239","A624",1990
"240","A624",1990
"241","A624",1990
"242","A624",1990
"243","A624",1990
"244","A624",1990
"245","A624",1990
"246","A624",1990
"247","A624",1990
"248","A624",1990
"249","A624",1990
"250","A624",1990
"251","A624",1990
"252","A624",1990
"253","A624",1990
"254","A624",1990
"255","A624",1990
"256","A624",1990
"257","A624",1990
"258","A624",1990
"259","A624",1990
"260","A624",1990
"261","A624",1990
"262","A624",1990
"263","A624",1990
"264","A624",1990
"265","A624",1990
"266","A624",1990
"267","A624",1990
"268","A624",1990
"269","A624",1990
"270","A624",1990
"271","A624",1990
"272","A624",1990
"273","A624",1990
"274","A624",1990
"275","A624",1990
"276","A624",1990
"277","A624",1990
"278","A624",1990
"279","A624",1990
"280","A634",1990
"281","A634",1990
"282","A634",1990
"283","A634",1990
"284","A634",1990
"285","A634",1990
"286","A642",1990
"287","A642",1990
