"","Nome","Partido","UF","Telefone","E-mail","parlamentar","Telefones"
"1","ADRIANA VENTURA","NOVO","SP","3215-5802","dep.adrianaventura@camara.leg.br","Deputado/a",NA
"2","ADRIANO DO BALDY","PP","GO","3215-5419","dep.adrianodobaldy@camara.leg.br","Deputado/a",NA
"3","AÉCIO NEVES","PSDB","MG","3215-5964","dep.aecioneves@camara.leg.br","Deputado/a",NA
"4","AFONSO HAMM","PP","RS","3215-5604","dep.afonsohamm@camara.leg.br","Deputado/a",NA
"5","AFONSO MOTTA","PDT","RS","3215-5528","dep.afonsomotta@camara.leg.br","Deputado/a",NA
"6","AGUINALDO RIBEIRO","PP","PB","3215-5735","dep.aguinaldoribeiro@camara.leg.br","Deputado/a",NA
"7","AJ ALBUQUERQUE","PP","CE","3215-5708","dep.ajalbuquerque@camara.leg.br","Deputado/a",NA
"8","ALAN RICK","DEM","AC","3215-5650","dep.alanrick@camara.leg.br","Deputado/a",NA
"9","ALCEU MOREIRA","MDB","RS","3215-5238","dep.alceumoreira@camara.leg.br","Deputado/a",NA
"10","ALCIDES RODRIGUES","PATRIOTA","GO","3215-5332","dep.alcidesrodrigues@camara.leg.br","Deputado/a",NA
"11","ALEXANDRE FROTA","PSL","SP","3215-5216","dep.alexandrefrota@camara.leg.br","Deputado/a",NA
"12","ALEXANDRE LEITE","DEM","SP","3215-5841","dep.alexandreleite@camara.leg.br","Deputado/a",NA
"13","ALEXIS FONTEYNE","NOVO","SP","3215-5845","dep.alexisfonteyne@camara.leg.br","Deputado/a",NA
"14","ALINE SLEUTJES","PSL","PR","3215-5550","dep.alinesleutjes@camara.leg.br","Deputado/a",NA
"15","ALTINEU CÔRTES","PL","RJ","3215-5336","dep.altineucortes@camara.leg.br","Deputado/a",NA
"16","ANDRÉ ABDON","PP","AP","3215-5831","dep.andreabdon@camara.leg.br","Deputado/a",NA
"17","ANDRÉ FUFUCA","PP","MA","3215-5945","dep.andrefufuca@camara.leg.br","Deputado/a",NA
"18","ANGELA AMIN","PP","SC","3215-5252","dep.angelaamin@camara.leg.br","Deputado/a",NA
"19","ANTONIO BRITO","PSD","BA","3215-5479","dep.antoniobrito@camara.leg.br","Deputado/a",NA
"20","ARNALDO JARDIM","CIDADANIA","SP","3215-5245","dep.arnaldojardim@camara.leg.br","Deputado/a",NA
"21","AROLDO MARTINS","PRB","PR","3215-5437","dep.aroldomartins@camara.leg.br","Deputado/a",NA
"22","ARTHUR LIRA","PP","AL","3215-5942","dep.arthurlira@camara.leg.br","Deputado/a",NA
"23","ARTHUR OLIVEIRA MAIA","DEM","BA","3215-5830","dep.arthuroliveiramaia@camara.leg.br","Deputado/a",NA
"24","ÁTILA LINS","PP","AM","3215-5730","dep.atilalins@camara.leg.br","Deputado/a",NA
"25","ÁTILA LIRA","PSB","PI","3215-5640","dep.atilalira@camara.leg.br","Deputado/a",NA
"26","AUREO RIBEIRO","SOLIDARIEDADE","RJ","3215-5212","dep.aureoribeiro@camara.leg.br","Deputado/a",NA
"27","BALEIA ROSSI","MDB","SP","3215-5829","dep.baleiarossi@camara.leg.br","Deputado/a",NA
"28","BETO PEREIRA","PSDB","MS","3215-5240","dep.betopereira@camara.leg.br","Deputado/a",NA
"29","BETO ROSADO","PP","RN","3215-5840","dep.betorosado@camara.leg.br","Deputado/a",NA
"30","BIA CAVASSA","PSDB","MS","3215-5448","dep.biacavassa@camara.leg.br","Deputado/a",NA
"31","BIA KICIS","PSL","DF","3215-5309","dep.biakicis@camara.leg.br","Deputado/a",NA
"32","BILAC PINTO","DEM","MG","3215-5806","dep.bilacpinto@camara.leg.br","Deputado/a",NA
"33","BOCA ABERTA","PROS","PR","3215-5384","dep.bocaaberta@camara.leg.br","Deputado/a",NA
"34","BOSCO SARAIVA","SOLIDARIEDADE","AM","3215-5404","dep.boscosaraiva@camara.leg.br","Deputado/a",NA
"35","CAPITÃO AUGUSTO","PL","SP","3215-5358","dep.capitaoaugusto@camara.leg.br","Deputado/a",NA
"36","CAPITÃO WAGNER","PROS","CE","3215-5711","dep.capitaowagner@camara.leg.br","Deputado/a",NA
"37","CARLA ZAMBELLI","PSL","SP","3215-5482","dep.carlazambelli@camara.leg.br","Deputado/a",NA
"38","CARLOS GOMES","PRB","RS","3215-5285","dep.carlosgomes@camara.leg.br","Deputado/a",NA
"39","CARLOS HENRIQUE GAGUIM","DEM","TO","3215-5214","dep.carloshenriquegaguim@camara.leg.br","Deputado/a",NA
"40","CAROLINE DE TONI","PSL","SC","3215-5476","dep.carolinedetoni@camara.leg.br","Deputado/a",NA
"41","CELSO MALDANER","MDB","SC","3215-5311","dep.celsomaldaner@camara.leg.br","Deputado/a",NA
"42","CELSO RUSSOMANNO","PRB","SP","3215-5960","dep.celsorussomanno@camara.leg.br","Deputado/a",NA
"43","CELSO SABINO","PSDB","PA","3215-5282","dep.celsosabino@camara.leg.br","Deputado/a",NA
"44","CHIQUINHO BRAZÃO","AVANTE","RJ","3215-5507","dep.chiquinhobrazao@camara.leg.br","Deputado/a",NA
"45","CHRISTIANE DE SOUZA YARED","PL","PR","3215-5201","dep.christianedesouzayared@camara.leg.br","Deputado/a",NA
"46","CHRISTINO AUREO","PP","RJ","3215-5227","dep.christinoaureo@camara.leg.br","Deputado/a",NA
"47","CLAUDIO CAJADO","PP","BA","3215-5630","dep.claudiocajado@camara.leg.br","Deputado/a",NA
"48","CLEBER VERDE","PRB","MA","3215-5710","dep.cleberverde@camara.leg.br","Deputado/a",NA
"49","CORONEL ARMANDO","PSL","SC","3215-5268","dep.coronelarmando@camara.leg.br","Deputado/a",NA
"50","CORONEL CHRISÓSTOMO","PSL","RO","3215-5458","dep.coronelchrisostomo@camara.leg.br","Deputado/a",NA
"51","DAGOBERTO NOGUEIRA","PDT","MS","3215-5522","dep.dagobertonogueira@camara.leg.br","Deputado/a",NA
"52","DANIEL ALMEIDA","PCdoB","BA","3215-5317","dep.danielalmeida@camara.leg.br","Deputado/a",NA
"53","DANIEL FREITAS","PSL","SC","3215-5273","dep.danielfreitas@camara.leg.br","Deputado/a",NA
"54","DANIEL SILVEIRA","PSL","RJ","3215-5403","dep.danielsilveira@camara.leg.br","Deputado/a",NA
"55","DARCI DE MATOS","PSD","SC","3215-5709","dep.darcidematos@camara.leg.br","Deputado/a",NA
"56","DARCÍSIO PERONDI","MDB","RS","3215-5927","dep.darcisioperondi@camara.leg.br","Deputado/a",NA
"57","DAVID SOARES","DEM","SP","3215-5741","dep.davidsoares@camara.leg.br","Deputado/a",NA
"58","DELEGADO ÉDER MAURO","PSD","PA","3215-5586","dep.delegadoedermauro@camara.leg.br","Deputado/a",NA
"59","DELEGADO WALDIR","PSL","GO","3215-5645","dep.delegadowaldir@camara.leg.br","Deputado/a",NA
"60","DIEGO ANDRADE","PSD","MG","3215-5307","dep.diegoandrade@camara.leg.br","Deputado/a",NA
"61","DIEGO GARCIA","PODE","PR","3215-5910","dep.diegogarcia@camara.leg.br","Deputado/a",NA
"62","DOMINGOS NETO","PSD","CE","3215-5546","dep.domingosneto@camara.leg.br","Deputado/a",NA
"63","DOMINGOS SÁVIO","PSDB","MG","3215-5345","dep.domingossavio@camara.leg.br","Deputado/a",NA
"64","DR. FREDERICO","PATRIOTA","MG","3215-5568","dep.dr.frederico@camara.leg.br","Deputado/a",NA
"65","DR. LEONARDO","SOLIDARIEDADE","MT","3215-5445","dep.dr.leonardo@camara.leg.br","Deputado/a",NA
"66","DR. LUIZ OVANDO","PSL","MS","3215-5644","dep.dr.luizovando@camara.leg.br","Deputado/a",NA
"67","DRA. SORAYA MANATO","PSL","ES","3215-5313","dep.dra.sorayamanato@camara.leg.br","Deputado/a",NA
