Cod Municipio;REGIAO;COD UF;UF;NOME MUNIC;POP EST;CLASSE POP
1100015;1 - Norte;11;Rondônia;Alta Floresta D'Oeste;23167;4 - 20001 até 50000
1100023;1 - Norte;11;Rondônia;Ariquemes;106168;6 - 100001 até 500000
1100031;1 - Norte;11;Rondônia;Cabixi;5438;2 - 5001 até 10000
1100049;1 - Norte;11;Rondônia;Cacoal;84813;5 - 50001 até 100000
1100056;1 - Norte;11;Rondônia;Cerejeiras;16444;3 - 10001 até 20000
1100064;1 - Norte;11;Rondônia;Colorado do Oeste;16227;3 - 10001 até 20000
1100072;1 - Norte;11;Rondônia;Corumbiara;7567;2 - 5001 até 10000
1100080;1 - Norte;11;Rondônia;Costa Marques;17855;3 - 10001 até 20000
1100098;1 - Norte;11;Rondônia;Espigão D'Oeste;32047;4 - 20001 até 50000
1100106;1 - Norte;11;Rondônia;Guajará-Mirim;45783;4 - 20001 até 50000
1100114;1 - Norte;11;Rondônia;Jaru;51933;5 - 50001 até 100000
1100122;1 - Norte;11;Rondônia;Ji-Paraná;127907;6 - 100001 até 500000
1100130;1 - Norte;11;Rondônia;Machadinho D'Oeste;39097;4 - 20001 até 50000
1100148;1 - Norte;11;Rondônia;Nova Brasilândia D'Oeste;20459;4 - 20001 até 50000
1100155;1 - Norte;11;Rondônia;Ouro Preto do Oeste;36340;4 - 20001 até 50000
1100189;1 - Norte;11;Rondônia;Pimenta Bueno;36434;4 - 20001 até 50000
1100205;1 - Norte;11;Rondônia;Porto Velho;519531;7 - Maior que 500000
1100254;1 - Norte;11;Rondônia;Presidente Médici;19409;3 - 10001 até 20000
1100262;1 - Norte;11;Rondônia;Rio Crespo;3723;1 - Até 5000
1100288;1 - Norte;11;Rondônia;Rolim de Moura;54702;5 - 50001 até 100000
1100296;1 - Norte;11;Rondônia;Santa Luzia D'Oeste;6781;2 - 5001 até 10000
1100304;1 - Norte;11;Rondônia;Vilhena;97448;5 - 50001 até 100000
1100320;1 - Norte;11;Rondônia;São Miguel do Guaporé;22931;4 - 20001 até 50000
1100338;1 - Norte;11;Rondônia;Nova Mamoré;29757;4 - 20001 até 50000
1100346;1 - Norte;11;Rondônia;Alvorada D'Oeste;14722;3 - 10001 até 20000
1100379;1 - Norte;11;Rondônia;Alto Alegre dos Parecis;13227;3 - 10001 até 20000
1100403;1 - Norte;11;Rondônia;Alto Paraíso;20999;4 - 20001 até 50000
1100452;1 - Norte;11;Rondônia;Buritis;38937;4 - 20001 até 50000
1100502;1 - Norte;11;Rondônia;Novo Horizonte do Oeste;8751;2 - 5001 até 10000
1100601;1 - Norte;11;Rondônia;Cacaulândia;6190;2 - 5001 até 10000
1100700;1 - Norte;11;Rondônia;Campo Novo de Rondônia;14009;3 - 10001 até 20000
1100809;1 - Norte;11;Rondônia;Candeias do Jamari;25983;4 - 20001 até 50000
1100908;1 - Norte;11;Rondônia;Castanheiras;3119;1 - Até 5000
1100924;1 - Norte;11;Rondônia;Chupinguaia;10886;3 - 10001 até 20000
1100940;1 - Norte;11;Rondônia;Cujubim;24226;4 - 20001 até 50000
1101005;1 - Norte;11;Rondônia;Governador Jorge Teixeira;8095;2 - 5001 até 10000
1101104;1 - Norte;11;Rondônia;Itapuã do Oeste;10272;3 - 10001 até 20000
1101203;1 - Norte;11;Rondônia;Ministro Andreazza;9762;2 - 5001 até 10000
1101302;1 - Norte;11;Rondônia;Mirante da Serra;11080;3 - 10001 até 20000
1101401;1 - Norte;11;Rondônia;Monte Negro;15695;3 - 10001 até 20000
1101435;1 - Norte;11;Rondônia;Nova União;7047;2 - 5001 até 10000
1101450;1 - Norte;11;Rondônia;Parecis;5947;2 - 5001 até 10000
1101468;1 - Norte;11;Rondônia;Pimenteiras do Oeste;2191;1 - Até 5000
1101476;1 - Norte;11;Rondônia;Primavera de Rondônia;2939;1 - Até 5000
1101484;1 - Norte;11;Rondônia;São Felipe D'Oeste;5280;2 - 5001 até 10000
1101492;1 - Norte;11;Rondônia;São Francisco do Guaporé;19842;3 - 10001 até 20000
1101500;1 - Norte;11;Rondônia;Seringueiras;11860;3 - 10001 até 20000
1101559;1 - Norte;11;Rondônia;Teixeirópolis;4384;1 - Até 5000
1101609;1 - Norte;11;Rondônia;Theobroma;10494;3 - 10001 até 20000
1101708;1 - Norte;11;Rondônia;Urupá;11665;3 - 10001 até 20000
1101757;1 - Norte;11;Rondônia;Vale do Anari;11028;3 - 10001 até 20000
1101807;1 - Norte;11;Rondônia;Vale do Paraíso;6998;2 - 5001 até 10000
1200013;1 - Norte;12;Acre;Acrelândia;15020;3 - 10001 até 20000
1200054;1 - Norte;12;Acre;Assis Brasil;7300;2 - 5001 até 10000
